KeyValuePair`2;KeyValuePair`2.key;KeyValuePair`2.value;KeyValuePair`2.Key;KeyValuePair`2.Value
"[1001, Лишняя скобка]";1001;"Лишняя скобка";1001;"Лишняя скобка"
"[1002, Неправильно закрыты скобки]";1002;"Неправильно закрыты скобки";1002;"Неправильно закрыты скобки"
"[1003, Неправильно закрыта структура IF]";1003;"Неправильно закрыта структура IF";1003;"Неправильно закрыта структура IF"
"[1004, У cтруктура IF нет начала]";1004;"У cтруктура IF нет начала";1004;"У cтруктура IF нет начала"
"[1005, Неправильно закрыта структура FOR]";1005;"Неправильно закрыта структура FOR";1005;"Неправильно закрыта структура FOR"
"[1006, У cтруктура FOR нет начала]";1006;"У cтруктура FOR нет начала";1006;"У cтруктура FOR нет начала"
"[1007, Неправильно закрыта структура WHILE]";1007;"Неправильно закрыта структура WHILE";1007;"Неправильно закрыта структура WHILE"
"[1008, У cтруктура WHILE нет начала]";1008;"У cтруктура WHILE нет начала";1008;"У cтруктура WHILE нет начала"
"[1009, Структура SUB не может содержать в себе другую структуру SUB]";1009;"Структура SUB не может содержать в себе другую структуру SUB";1009;"Структура SUB не может содержать в себе другую структуру SUB"
"[1010, У cтруктуры SUB нет начала]";1010;"У cтруктуры SUB нет начала";1010;"У cтруктуры SUB нет начала"
"[1011, Структура SUB не закрыта]";1011;"Структура SUB не закрыта";1011;"Структура SUB не закрыта"
"[1012, Структура IF не закрыта]";1012;"Структура IF не закрыта";1012;"Структура IF не закрыта"
"[1013, Структура FOR не закрыта]";1013;"Структура FOR не закрыта";1013;"Структура FOR не закрыта"
"[1014, Структура WHILE не закрыта]";1014;"Структура WHILE не закрыта";1014;"Структура WHILE не закрыта"
"[1015, Недопустимый код, Должно быть только слово EndIf]";1015;"Недопустимый код, Должно быть только слово EndIf";1015;"Недопустимый код, Должно быть только слово EndIf"
"[1016, Недопустимый код, Должно быть только слово EndFor]";1016;"Недопустимый код, Должно быть только слово EndFor";1016;"Недопустимый код, Должно быть только слово EndFor"
"[1017, Недопустимый код, Должно быть только слово EndWhile]";1017;"Недопустимый код, Должно быть только слово EndWhile";1017;"Недопустимый код, Должно быть только слово EndWhile"
"[1018, Недопустимый код, Должно быть только слово EndSub]";1018;"Недопустимый код, Должно быть только слово EndSub";1018;"Недопустимый код, Должно быть только слово EndSub"
"[1019, Недопустимый код, Должно быть только слово Else]";1019;"Недопустимый код, Должно быть только слово Else";1019;"Недопустимый код, Должно быть только слово Else"
"[1020, Недопустимый код, Должно быть только слово goto и имя метки перехода (label) без двоеточия]";1020;"Недопустимый код, Должно быть только слово goto и имя метки перехода (label) без двоеточия";1020;"Недопустимый код, Должно быть только слово goto и имя метки перехода (label) без двоеточия"
"[1021, Недопустимый код, Должно быть только имя метки перехода (label) и двоеточие в конце]";1021;"Недопустимый код, Должно быть только имя метки перехода (label) и двоеточие в конце";1021;"Недопустимый код, Должно быть только имя метки перехода (label) и двоеточие в конце"
"[1022, Модуль не найден]";1022;"Модуль не найден";1022;"Модуль не найден"
"[1023, Процедура не найдена]";1023;"Процедура не найдена";1023;"Процедура не найдена"
"[1024, Метка (label) с таким именем уже определена в данной функции]";1024;"Метка (label) с таким именем уже определена в данной функции";1024;"Метка (label) с таким именем уже определена в данной функции"
"[1025, Метка (label) с таким именем уже определена в данной программе]";1025;"Метка (label) с таким именем уже определена в данной программе";1025;"Метка (label) с таким именем уже определена в данной программе"
"[1026, Структура FUNCTION не может содержать в себе другую структуру FUNCTION]";1026;"Структура FUNCTION не может содержать в себе другую структуру FUNCTION";1026;"Структура FUNCTION не может содержать в себе другую структуру FUNCTION"
"[1027, У cтруктуры FUNCTION нет начала]";1027;"У cтруктуры FUNCTION нет начала";1027;"У cтруктуры FUNCTION нет начала"
"[1028, Структура FUNCTION не закрыта]";1028;"Структура FUNCTION не закрыта";1028;"Структура FUNCTION не закрыта"
"[1029, Недопустимый код, Должно быть только слово EndFunction]";1029;"Недопустимый код, Должно быть только слово EndFunction";1029;"Недопустимый код, Должно быть только слово EndFunction"
"[1030, Структура SUB не может содержать в себе другую структуру FUNCTION]";1030;"Структура SUB не может содержать в себе другую структуру FUNCTION";1030;"Структура SUB не может содержать в себе другую структуру FUNCTION"
"[1031, Структура FUNCTION не может содержать в себе другую структуру SUB]";1031;"Структура FUNCTION не может содержать в себе другую структуру SUB";1031;"Структура FUNCTION не может содержать в себе другую структуру SUB"
"[1032, Строка не распознана]";1032;"Строка не распознана";1032;"Строка не распознана"
"[1033, Тип строки не распознан]";1033;"Тип строки не распознан";1033;"Тип строки не распознан"
"[1034, Ошибки в строке]";1034;"Ошибки в строке";1034;"Ошибки в строке"
"[1035, Метка (label) с таким именем не найдена в функции]";1035;"Метка (label) с таким именем не найдена в функции";1035;"Метка (label) с таким именем не найдена в функции"
"[1036, Метка (label) с таким именем не найдена в программе]";1036;"Метка (label) с таким именем не найдена в программе";1036;"Метка (label) с таким именем не найдена в программе"
"[1101, Файл не найден]";1101;"Файл не найден";1101;"Файл не найден"
"[1102, Отсутствует имя подключаемого файла]";1102;"Отсутствует имя подключаемого файла";1102;"Отсутствует имя подключаемого файла"
"[1103, Неверное количество параметров]";1103;"Неверное количество параметров";1103;"Неверное количество параметров"
"[1104, Имя файла должно быть в виде строки]";1104;"Имя файла должно быть в виде строки";1104;"Имя файла должно быть в виде строки"
"[1105, Включючаемые файлы не могут содержать своих включений]";1105;"Включючаемые файлы не могут содержать своих включений";1105;"Включючаемые файлы не могут содержать своих включений"
